Full Name,Email,Username,Item name,serial number,Category,manufacturer,purchase date,purchase cost,purchase order,order number,Licensed To Name,Licensed to Email,expiration date,maintained,reassignable,seats,company,supplier,notes
Tana Middleditch,osheardh@example.org,osheardh,OCTINOXATE OCTISALATE TITANIUM DIOXIDE,23b40848-16fb-4023-a94b-5be44c080a88,Ameliorated needs-based data-warehouse,Reichert-Ebert,12/27/10,$89.06 ,67203,061661177-3,Obed Sheard,osheardh@example.org,,FALSE,,2,O'Connell Group,"Wolff, Wehner and Oberbrunner",Sample import note
Giffer Tarling,vbasterfieldi@example.org,vbasterfieldi,Hydralazine Hydrochloride,1fb3906f-8730-4dda-b8b7-896fdf092c4a,Streamlined dynamic hardware,,10/15/05,$20.71 ,,433426291-0,Victor Basterfield,vbasterfieldi@example.org,,FALSE,YES,79,,,Sample import note
Doug Penquet,karblasterj@example.org,karblasterj,Homeopathic Liquid,dcc764ec-011b-4fc1-abd3-e360089581b4,Ameliorated client-driven secured line,Hills and Sons,1/17/95,$48.64 ,38562,003915810-1,Korey Arblaster,karblasterj@example.org,,TRUE,TRUE,69,"Smith, Corwin and Schroeder",Goyette-Goodwin,Sample import note
Tiphanie Witton,selsayk@example.org,selsayk,oxybutynin chloride,aad1618a-3d49-46d7-90da-c19503f927f8,Inverse mission-critical model,O'Keefe Group,3/6/84,$78.97 ,80346,255771806-8,Stefanie Elsay,selsayk@example.org,,FALSE,,6,Spencer-Torp,Ullrich Inc,Sample import note
Gibby Biford,bemblinl@example.org,bemblinl,Acyclovir,e40d7183-eebe-47c6-9ec6-e54c36a80096,Profit-focused incremental orchestration,Buckridge Group,,$46.88 ,56260,426095673-6,Bron Emblin,bemblinl@example.org,,TRUE,no,94,Zemlak-Kreiger,Mante-Hessel,Sample import note
Hymie Cameron,vdallonm@example.org,vdallonm,losartan potassium,bf6a7eef-d6a5-4d06-ab63-631841deb014,Enhanced mission-critical functionalities,,3/25/03,$85.19 ,,966275591-8,Venus Dallon,vdallonm@example.org,,FALSE,yes,6,,,Sample import note
Jeanette Clowes,bhartlandn@example.org,bhartlandn,Benzalkonium Chloride,e5dbc5e2-bd36-48c4-93a6-2002fa82e38f,Assimilated tangible functionalities,"Grady, Bernhard and Yost",12/2/94,$53.96 ,45800,089164796-1,Brandtr Hartland,bhartlandn@example.org,,TRUE,NO,33,Schmeler-McKenzie,"Moen, Purdy and Schultz",Sample import note
Diane Larmet,tallabartono@example.org,tallabartono,ASARUM EUROPAEUM,db26726d-02d7-46de-9fef-72537b8f5e73,Centralized 24 hour data-warehouse,"Altenwerth, Wuckert and Feest",11/2/99,$32.31 ,39634,983426091-1,Tremayne Allabarton,tallabartono@example.org,,TRUE,no,26,"Beahan, Koch and Heidenreich",Kirlin-Bruen,Sample import note
Alley Shyre,bdurbridgep@example.org,bdurbridgep,loperamide HCl,9f659b3d-3ca7-442b-b9f9-85df21738d20,Customizable stable core,Weimann Inc,,$47.90 ,73216,483676849-7,Bridget Durbridge,bdurbridgep@example.org,,FALSE,TRUE,13,"Mosciski, Wolf and Bruen",Will Group,Sample import note
Karine Philipard,amcilwraithq@example.org,amcilwraithq,Nifedipine,f8e28161-ee5c-4e90-9276-8928d8a1fe45,Re-engineered clear-thinking instruction set,"Kiehn, Auer and Cruickshank",10/13/94,$29.88 ,95585,584880185-1,Annabal McIlwraith,amcilwraithq@example.org,,TRUE,sometimes,57,Bauch and Sons,Hartmann Inc,Sample import note
Tate Beckson,hcordenr@example.org,hcordenr,NITROGLYCERIN,23b9128a-080d-40f1-bc9d-ed9f35d15c63,Virtual solution-oriented benchmark,"Ruecker, Hilll and Dicki",6/23/99,$83.48 ,11095,779580200-1,Hercule Corden,hcordenr@example.org,,TRUE,yes,72,Bahringer and Sons,Aufderhar-Hudson,Sample import note
Davide Garrioch,abeacocks@example.org,abeacocks,PYRETHRUM CINERARIIFOLIUM,348dc629-504f-4266-9d12-93ec1a51b5de,Vision-oriented coherent standardization,,12/4/00,$32.19 ,,836520830-X,Adrianne Beacock,abeacocks@example.org,,TRUE,,13,,,Sample import note
Johny Toll,wleveringtont@example.org,wleveringtont,Oxycodone Hydrochloride and Acetaminophen,a8e9517c-eb63-4743-8eaf-11fe9f76dc60,Multi-lateral next generation archive,Wiza-Haley,4/22/04,$0.41 ,21378,607407045-8,Wallache Leverington,wleveringtont@example.org,,FALSE,TRUE,23,"Steuber, Hoppe and Bruen",Rempel Inc,Sample import note
Anne-corinne Curless,cstrydeu@example.org,cstrydeu,Atorvastatin Calcium,45d86ea6-0012-4970-bba3-6432f03553d6,Sharable 3rd generation forecast,"Rowe, Cartwright and Wiza",6/7/03,$55.55 ,88475,970951097-5,Coral Stryde,cstrydeu@example.org,,FALSE,sometimes,43,Balistreri LLC,Wolf-Torphy,Sample import note
Norine Brakewell,ccathesyedv@example.org,ccathesyedv,"Gum, Sweet Liquidambar styraciflua",15741b10-c48b-455e-b225-5020da01a93b,Customer-focused optimal system engine,Hayes Inc,1/2/11,$92.63 ,48656,236374986-3,Carolina Cathesyed,ccathesyedv@example.org,,TRUE,yes,60,Botsford-Rodriguez,"Stiedemann, Kemmer and Brown",Sample import note
Bessy Ingerfield,rifflandw@example.org,rifflandw,GLYCERIN,316812d7-41ff-42aa-8d1a-ffc6befda3b0,Seamless secondary emulation,Wilderman-Zemlak,5/2/83,$78.78 ,95469,169865158-9,Raine Iffland,rifflandw@example.org,,FALSE,TRUE,59,Reynolds Group,Rodriguez-McClure,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris."
Kerstin McGrill,fsteinx@example.org,fsteinx,Aspirin,0a14ff52-1d8c-450e-86a9-cc2069a4213d,Triple-buffered regional analyzer,"Hauck, O'Hara and Dibbert",7/13/08,$88.52 ,69629,236206999-0,Farah Stein,fsteinx@example.org,,TRUE,TRUE,86,Haag-Bailey,Rau LLC,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris."
Harmonia Scoates,sniavesy@example.org,sniavesy,ceftazidime,a82f197c-f1ac-4d02-82be-3968427b1bb4,Customer-focused analyzing productivity,Ankunding Group,9/5/08,$42.54 ,12643,218498131-1,Sloane Niaves,sniavesy@example.org,,TRUE,FALSE,4,"Donnelly, Pfeffer and Roberts","Kuvalis, Lubowitz and Zboncak","Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
Ringo Jeffs,gdoylyz@example.org,gdoylyz,"Piperonyl butoxide, Pyrethrum extract",a8f42a80-444a-4bcb-a7e9-38ded2c702c2,Streamlined leading edge groupware,Maggio and Sons,5/13/00,$74.67 ,67907,190797448-2,Gene D'Oyly,gdoylyz@example.org,,FALSE,FALSE,2,Kozey-Romaguera,Kovacek-Lebsack,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
Lew Kimmerling,ctarbatt10@example.org,ctarbatt10,Allspice,6e358247-071f-478a-8452-28159a9f6da0,Right-sized logistical focus group,"Lakin, Kohler and Rogahn",8/10/84,$28.33 ,46894,094697521-3,Charity Tarbatt,ctarbatt10@example.org,,TRUE,YES,57,Gislason-Murray,Gerhold LLC,Sample import note
Zorana Clewett,emcgettigan11@example.org,emcgettigan11,"Acetaminophen, Guaifenesin, Phenylephrine HCl",ac38aa40-9e5a-4842-8a56-aabae234d828,User-centric zero defect budgetary management,Graham Inc,5/2/98,$76.28 ,43880,258048655-0,Ethelin McGettigan,emcgettigan11@example.org,,TRUE,YES,29,Powlowski Group,"Kunze, Jakubowski and Tremblay",Sample import note
Wilburt Worrell,mdealy12@example.org,mdealy12,Nadolol,20e2897c-a8f4-4e33-985a-5de751fa675f,Cross-platform 3rd generation solution,Mayert-Jacobs,6/20/03,$90.84 ,69931,295626053-7,Mamie Dealy,mdealy12@example.org,,FALSE,FALSE,56,Baumbach-Rolfson,"Heidenreich, Harris and Halvorson","Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi."
Avie Barnbrook,imordan13@example.org,imordan13,GlyBURIDE,78d9f721-6a6f-4b61-9f16-f920330bb413,Progressive transitional parallelism,,9/5/87,$42.02 ,,829075761-1,Isa Mordan,imordan13@example.org,,FALSE,NO,53,,,
Godfree Micheli,mbonhomme14@example.org,mbonhomme14,Furosemide,8b1cf256-2e75-47d0-9ef1-bd05a7a8aa40,Phased even-keeled moderator,Rath Inc,10/21/07,$80.18 ,57057,482496005-3,Marty Bonhomme,mbonhomme14@example.org,,FALSE,FALSE,46,Mertz-Jast,Hermann and Sons,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
Candida Meedendorpe,ostallworthy15@example.org,ostallworthy15,Octinoxate and Titanium Dioxide,fdffc27d-b625-4b4c-a037-7225377bb942,Object-based asymmetric migration,"Medhurst, Homenick and Marquardt",1/6/07,$35.20 ,18641,456756372-7,Orsola Stallworthy,ostallworthy15@example.org,,FALSE,TRUE,56,"Sanford, Oberbrunner and Stracke",Schulist-Senger,Sample import note
Dotti Fearey,pstanners16@example.org,pstanners16,Temazepam,87592e58-5628-4d38-a3ae-fb06df901777,Adaptive well-modulated local area network,Murray Group,1/12/94,$66.92 ,70036,393533011-1,Paolo Stanners,pstanners16@example.org,,FALSE,no,69,Crist and Sons,Moore and Sons,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris."
Arabela Coneybeare,ccrolla17@example.org,ccrolla17,Lorazepam,1b423a53-d014-4648-9f64-db4807525c2f,Synergistic logistical Graphic Interface,Moore and Sons,6/5/95,$52.73 ,14746,087846643-6,Cele Crolla,ccrolla17@example.org,,FALSE,TRUE,56,Aufderhar-Mann,Sauer-Carter,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
Lewie Fancutt,gnewdick18@example.org,gnewdick18,Aconitum napellus,49ee5fa4-d441-4d36-8708-29a394044fd3,Fundamental zero administration moderator,O'Kon-Pfannerstill,1/16/08,$7.55 ,42229,546659697-3,Gerry Newdick,gnewdick18@example.org,,TRUE,TRUE,91,Howell-Schowalter,"Huel, Walker and Blanda",Sample import note
Farleigh Craisford,kfilippi19@example.org,kfilippi19,Bryonia,e5a134ef-5a83-42da-a695-2ece98455030,Re-engineered executive pricing structure,,10/5/13,$80.46 ,,830372513-0,Kikelia Filippi,kfilippi19@example.org,,FALSE,,37,,,
Cilka Risdall,agrogan1a@example.org,agrogan1a,PILOCARPINE HYDROCHLORIDE,b13bcb71-4950-4e7b-98ff-120c07ff0a16,Extended reciprocal standardization,Sporer and Sons,8/1/93,$99.99 ,11073,839726250-4,Antoni Grogan,agrogan1a@example.org,,TRUE,FALSE,31,Fahey and Sons,Herman-Prohaska,Sample import note
Leon Feckey,lculshaw1b@example.org,lculshaw1b,ZONISAMIDE,d006b259-bc10-4c6c-aca2-3cdc5957bf90,Reactive cohesive website,Johnson Group,,$75.72 ,19200,008549857-2,Lynelle Culshaw,lculshaw1b@example.org,,FALSE,TRUE,55,McLaughlin Group,Fadel-Botsford,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
Lee Barlace,psanja1c@example.org,psanja1c,Not applicable,44b4441c-c659-4b37-9aed-b6081030e770,Realigned 6th generation structure,Weimann Inc,8/22/83,$65.31 ,45540,207737343-1,Pooh Sanja,psanja1c@example.org,,TRUE,,45,"Beer, Wehner and Bode",Fritsch-Pollich,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus."
Esma Dabernott,gholme1d@example.org,gholme1d,Metoprolol Tartrate and Hydrochlorothiazide,23f2f46f-0cbc-493c-9efa-05eed769235d,Open-architected 4th generation matrix,"Metz, Jacobson and Kreiger",3/24/91,$41.52 ,15974,173704123-5,Gennifer Holme,gholme1d@example.org,,FALSE,TRUE,12,Will-Schamberger,"Fisher, Feest and Hane","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus."
